Year,Crop,Productivity,Yield,Area
2014,Tomatoes,38.35576923076923,39890.0,1040.0
2015,Tomatoes,37.50337512054002,38891.0,1037.0
2016,Tomatoes,38.249529190207156,40621.0,1062.0
2017,Tomatoes,37.72605363984675,39386.0,1044.0
2018,Tomatoes,40.656670113753876,39315.0,967.0
2019,Tomatoes,50.3589001447178,34798.0,691.0
2020,Tomatoes,49.962857142857146,34974.0,700.0
2021,Tomatoes,46.69160305343512,30583.0,655.0
2022,Tomatoes,43.01259842519685,27313.0,635.0
2023,Tomatoes,48.76690391459075,27407.0,562.0
2024,Tomatoes,54.711033274956215,31240.0,571.0
2025,Tomatoes,48.59830508474576,28673.0,590.0
2014,Cucumber,65.17147707979626,38386.0,589.0
2015,Cucumber,73.34782608695652,40488.0,552.0
2016,Cucumber,75.41425818882466,39140.0,519.0
2017,Cucumber,80.2439024390244,42770.0,533.0
2018,Cucumber,86.75381679389314,45459.0,524.0
2019,Cucumber,90.8157894736842,48314.0,532.0
2020,Cucumber,102.78136882129277,54063.0,526.0
2021,Cucumber,110.60208333333334,53089.0,480.0
2022,Cucumber,106.80555555555556,49985.0,468.0
2023,Cucumber,107.96573875802999,50420.0,467.0
2024,Cucumber,113.39662447257383,53750.0,474.0
2025,Cucumber,120.19438444924405,55650.0,463.0
2014,Gherkin,11.929824561403509,680.0,57.0
2015,Gherkin,12.333333333333334,888.0,72.0
2016,Gherkin,16.36111111111111,1178.0,72.0
2017,Gherkin,14.074074074074074,760.0,54.0
2018,Gherkin,14.333333333333334,731.0,51.0
2019,Gherkin,13.44,672.0,50.0
2020,Gherkin,13.830188679245284,733.0,53.0
2021,Gherkin,14.681818181818182,646.0,44.0
2022,Gherkin,15.088888888888889,679.0,45.0
2023,Gherkin,14.454545454545455,636.0,44.0
2024,Gherkin,14.113636363636363,621.0,44.0
2025,Gherkin,13.666666666666666,615.0,45.0
2014,Chinese cabbage,5.875,94.0,16.0
2015,Chinese cabbage,6.8,68.0,10.0
2016,Chinese cabbage,8.222222222222221,74.0,9.0
2017,Chinese cabbage,6.777777777777778,61.0,9.0
2018,Chinese cabbage,6.666666666666667,40.0,6.0
2019,Chinese cabbage,6.666666666666667,60.0,9.0
2020,Chinese cabbage,5.4,27.0,5.0
2021,Chinese cabbage,5.0,45.0,9.0
2022,Chinese cabbage,,,
2023,Chinese cabbage,8.666666666666666,26.0,3.0
2024,Chinese cabbage,,,
2025,Chinese cabbage,7.0,49.0,7.0
2014,Bell pepper,9.81132075471698,520.0,53.0
2015,Bell pepper,10.58695652173913,487.0,46.0
2016,Bell pepper,10.174603174603174,641.0,63.0
2017,Bell pepper,12.54320987654321,1016.0,81.0
2018,Bell pepper,12.423529411764706,1056.0,85.0
2019,Bell pepper,12.463414634146341,1022.0,82.0
2020,Bell pepper,10.854545454545455,1194.0,110.0
2021,Bell pepper,9.904347826086957,1139.0,115.0
2022,Bell pepper,11.064516129032258,1372.0,124.0
2023,Bell pepper,11.432624113475176,1612.0,141.0
2024,Bell pepper,11.267605633802816,1600.0,142.0
2025,Bell pepper,10.992248062015504,1418.0,129.0
2014,Dill,1.4883720930232558,128.0,86.0
2015,Dill,0.7674418604651163,66.0,86.0
2016,Dill,1.3541666666666667,130.0,96.0
2017,Dill,1.69,169.0,100.0
2018,Dill,1.3157894736842106,100.0,76.0
2019,Dill,1.3968253968253967,88.0,63.0
2020,Dill,1.7627118644067796,104.0,59.0
2021,Dill,2.9855072463768115,206.0,69.0
2022,Dill,1.5818181818181818,87.0,55.0
